,Diet,Cuisine,Home_or_restaurant,Healthiness_rating,Likeness,Dish_name,Ingredients,Healthiness_rating_int,Likeness_int,filenames
188,non_vegetarian,british,restaurant,unhealthy,neutral,fish_and_chips,"fish,chips，beans,",2.0,3.0,001962.jpg
189,non_vegetarian,american,khf,very_unhealthy,like,beef_burger_and_fries,"potato,beef,cheese,bun",1.0,4.0,001967.jpg
191,vegan,indian,home,healthy,neutral,rice_with_ivy_guard_curry,"rice,ivy_guard,chilly_powder,tumeric_powder_and_sunflower_oil",4.0,3.0,001973.jpg
193,non_vegetarian,british,restaurant,neutral,like,fish_and_chips,"french_fries,green_beans,fish",3.0,4.0,001981.jpg
194,non_vegetarian,english,restaurant,unhealthy,like,burger,"chips,bread,fried_chicken_fillet,cips,ketchup,lettuce,mayonaise",2.0,4.0,002008.jpg
195,vegetarian,thai,home,healthy,neutral,rice_with_thai_curry,"rice,onion,tomato,coconut_milk,curry_paste,salt,broccoli,capsicum,carrot",4.0,3.0,002012.jpg
197,vegetarian,chinese,home,healthy,neutral,egg_fried_rice,"rice,eggs,water,sunflower_oil,light_soy_sause,salt",4.0,3.0,002045.jpg
198,non_vegetarian,indian,home,healthy,like,rice_with_roasted_chicken_slice,"boiled_rice,chicken,salt,garlic,ginger,garam_masala,lemon,pepper_powder,coriander_powder,turmeric_powder",4.0,4.0,002101.jpg
199,non_vegetarian,american,mcdonalds,very_unhealthy,neutral,philly_cheese_stack,"beef,cheese,onion,pickles,bun,fries",1.0,3.0,002130.jpg
200,vegetarian,indian,home,healthy,strongly_like,tomato_rice,"tomato,bay_leaves,clove,mustard_seeds,cumin_seed,chana_daal,ginger_garlic_paste,onions,salt,chilli_powder,sunflower_oil",4.0,5.0,002138.jpg
201,vegetarian,south_indian,home,healthy,like,tomato_rice,"vegetable_oil,cooked_rice,mustard_seeds,cumin_seeds,tomato,onion,ginger_and_garlic_paste,green_chilly,pepper_powder,turmeric_powder,coriander_powder,garam_masala,salt",4.0,4.0,002139.jpg
202,vegetarian,indian,home,very_healthy,strongly_like,rice_&_lentils,"rice,lentils,potatoes,cumin_seeds",5.0,5.0,002142.jpg
203,vegan,indian,home,healthy,neutral,rice_with_chickpeas_curry,"boiled_rice,chickpeas,onion,green_chilli,chilli_powder,turmeric_powder,salt,coriander_powder,coconut_milk",4.0,3.0,002189.jpg
204,vegetarian,indian,home,healthy,like,vegetable_fried_rice,"rice,mixed_vegetables,fried_rice_masala,oil,onions,salt",4.0,4.0,002194.jpg
205,vegan,indian,home,very_healthy,strongly_like,ghee_rice,"basmati_rice,ghee,onion,water,green_chili,salt,cashewnuts,raisins,cinnamon,cloves,cardamoms,star_anise,bay_leaf",5.0,5.0,002195.jpg
208,non_vegetarian,indian,home,healthy,strongly_like,kadai_chicken_&_rice,"chicken,olive_oil,salt,spices,garlic,ginger,capsicum_&_tomato",4.0,5.0,002235.jpg
211,non_vegetarian,american,restaurant,neutral,neutral,fiery_chicken_tender_with_fries,"herbs_and_cheese_bread,chicken,chili_powder,jalapenos,tomatoes,potatoes,garlic,ginger,coriander,salt",3.0,3.0,002277.jpg
212,vegetarian,italian,restaurant,unhealthy,like,polenta_chips,"polenta,salt,parmesan,butter",2.0,4.0,002298.jpg
213,vegetarian,indian,home,very_healthy,strongly_like,dal_rice,"toor_dal,onions,white_rice,turmeric_powder,green_chilli,garlic,tomato,salt,vegetable_oil,mustard,cumin_seeds,red_chilli,asafoetida,onion,kashmiri_red_chilli_powder",5.0,5.0,002318.jpg
215,non_vegetarian,american,resturant,unhealthy,neutral,fried_chicken_and_chips,"chicken_wings,fries,flour,all_spice,salt",2.0,3.0,002332.jpg
216,non_vegetarian,american,mc_donalds,very_unhealthy,strongly_like,hamburger_with_fries,"bread,meat,cheese,tomato_sauce,potato,onion",1.0,5.0,002348.jpg
217,vegan,american,mcdonald's,very_unhealthy,like,mcplant_and_fries,"plant_based_burger,iceberg_lettuce,tomato,ketchup,vegan_cheese,pickles,onions,mustard,sesame_bun,vegan_sandwich_sauce,fries",1.0,4.0,002381.jpg
219,non_vegetarian,indian,home,healthy,like,rice_with_meat_curry_and_lentil_curry,"rice,meat_curry,lentil_curry",4.0,4.0,002417.jpg
220,non_vegetarian,english,home,neutral,like,chicken_burger_and_chips,"chicken_fillet,bun,chips,lettuce",3.0,4.0,002441.jpg
221,vegetarian,indian,home,healthy,strongly_like,red_kidney_beans_curry_and_rice,"rice,onion,red_kidney_beans,tomatoes,oil,spices,ginger_garlic,ghee",4.0,5.0,002450.jpg
222,non_vegetarian,british,restaurant,unhealthy,dislike,chicken_wings_with_chips,"chicken_wings,salt,black_pepper,garlic_powder,onion_powder,paprika,cayenne_pepper,large_potatoes,vegetable_oil",2.0,2.0,002457.jpg
223,non_vegetarian,pakistani,home,neutral,neutral,chicken_kofta_with_rice,"chicken_mince,onion,garlic,turmeric,chilli_powder,garam_masala,ginger,tomato_puree,coriander_powder,salt,fresh_cream,vegetable_oil,honey,rice",3.0,3.0,002507.jpg
224,vegan,chinese,home,neutral,strongly_like,cooked_rice,rice,3.0,5.0,002508.jpg
225,non_vegetarian,south_asian,home,very_healthy,like,"rice,chicken_and_vegetables","rice,onion,vegetable_oil,salt",5.0,4.0,002523.jpg
226,non_vegetarian,british,restaurant,neutral,neutral,beef_and_rice_burrito,"rice,pancakes,french_fries,corn,beef",3.0,3.0,002526.jpg
229,vegetarian,indian,home,healthy,like,sauce'_or_'relish_for_rice’__(curry_sauce)_with_rice,"ingredients:
for_the_curry_sauce:
2_tablespoons_cooking_oil
1_onion,finely_chopped
2_cloves_garlic,minced
1-inch_piece_of_ginger,grated
2_tablespoons_curry_powder_(adjust_to_taste)
1_teaspoon_turmeric_powder
1_teaspoon_cumin_powder
1_teaspoon_coriander_powder
1/2_teaspoon_chili_powder_(adjust_to_taste)
1_can_(14_oz)_diced_tomatoes
1_cup_vegetable_broth_or_water
salt_and_pepper_to_taste
1/2_cup_coconut_milk_(optional_for_a_creamier_curry)
fresh_cilantro_leaves_for_garnish
for_the_curry_rice:
1_cup_long-grain_rice_(basmati_or_any_variety_you_prefer)
2_cups_water
mixed_vegetables_(e.g.,carrots,peas,bell_peppers),chopped
protein_of_your_choice_(chicken,beef,tofu,etc.),cooked_and_cut_into_bite-sized_pieces
salt_to_taste",4.0,4.0,002545.jpg
232,non_vegetarian,english,restaurant,unhealthy,like,fish_and_chips,"cod,chips",2.0,4.0,002606.jpg
233,vegetarian,indian,home,healthy,like,haricot_and_rice,"haricot_beans,spices,salt,oil,onion,rice",4.0,4.0,002623.jpg
234,vegetarian,american,restaurant,unhealthy,strongly_like,chips,potatos,2.0,5.0,002636.jpg
235,non_vegetarian,bangladeshi,home,neutral,like,chicken_heart_and_liver_curry_with_rice,"chicken_heart,chicken_liver,garam_masala,cardamom,_cinnamon,black_pepper,bay_leaf,clove,turmeric,potato,garlic,ginger,onion,vegetable_oil,salt,red_chilli_powder,green_chilli,rice,",3.0,4.0,002645.jpg
238,non_vegetarian,british,home,healthy,strongly_like,salm&chips,"salmon_fillets,potato,asparagus,sweet_pepper,cherry_tomato,salt,mixed_pepper,olive_oil",4.0,5.0,002674.jpg
239,non_vegetarian,american,kfc,very_unhealthy,neutral,chicken_bucket_and_chips,"corn_flour,potato,baking_soda,chicken,oil,pepper",1.0,3.0,002681.jpg
240,vegetarian,indian,home,neutral,like,dal_khichadi,"gram_beans,spices,salt,oil,rice,corriander",3.0,4.0,002682.jpg
241,non_vegetarian,portuguese,roosters_piri_piri,healthy,strongly_like,chicken_wrap_with_fries,"tortilla_wrap,chicken,olive_oil,piri_piri_sauce,cheddar_cheese,mayonnaise,lettuce,potato_fries",4.0,5.0,002695.jpg
242,non_vegetarian,south_african,resturant,healthy,strongly_like,peri_peri_chicken_with_chips_and_spicy_rice,"peri_peri_chicken:_butterfly_chicken_breasts,peri_peri_sauce,lemon_juice,garlic,paprika,oregano,thyme,black_pepper,olive_oil,salt.____peri_peri_chips:__potatoes,salt,peri_peri_seasoning._____spicy_rice:__rice,cumin,paprika,turmeric,chilli_powder,coriander",4.0,5.0,002705.jpg
243,non_vegetarian,british,home,unhealthy,dislike,sweet_potato_fries_and_wings,"chicken,halloumi,pepper,salt,nandos_seasoning,olive_oil,sweet_potato",2.0,2.0,002712.jpg
244,vegan,south_indian,home,healthy,like,spiced_tomato_rice,"tomato,onion,rice,coriander_powder,chilli_powder,biryani_masala,salt,sesame_oil,ginger-garlic_paste",4.0,4.0,002728.jpg
246,vegan,belgian,home,healthy,like,garlic_french_fries,"potato,garlic_powder,salt,olive_oil",4.0,4.0,002737.jpg
247,non_vegetarian,american,mcdonalds,healthy,neutral,burger_and_chips,"beef,lettuce,gherkin,tomatoes,potatoes,salt,mayonnaise,ketchup,cheese",4.0,3.0,002766.jpg
248,vegetarian,indian,home,very_healthy,neutral,khichdi_with_curd_and_buttermilk,"rice,yellow_pigeon_peas,curd,milk,spices,tomato_salad",5.0,3.0,002774.jpg
249,non_vegetarian,european,restaurant,very_unhealthy,dislike,buffalo_wings_and_chips,"chicken_wings,baking_powder,salt,garlic_powder,butter,red_buffalo_hot_sauce,sugar,potato_chips",1.0,2.0,002781.jpg
250,vegetarian,indian,home,healthy,like,lentils_&_rice,"basmati_rice,lentils,oil,ginger,garlic,onion,corriander_powder,red_chilli_powder,salt,tumeric_powder,tomatoes,green_chillis",4.0,4.0,002782.jpg
251,vegan,chinese,home,very_healthy,like,rice,"rice,water",5.0,4.0,002797.jpg
253,non_vegetarian,british,restaurant,healthy,neutral,ham_egg_and_chips,"ham,egg,potato,salt,oil",4.0,3.0,002835.jpg
254,non_vegetarian,korean,restaurant,very_unhealthy,like,korean_burger_and_saucy_fries,"brioche_bun,chicken_fillet,hoisin_bbq_sauce,lettuce,chilli_crisp,coleslaw",1.0,4.0,002838.jpg
255,vegetarian,indian_mix_match,home,healthy,strongly_like,egg_fried_rice_and_croissant,"rice,tumeric_powder,salt,cumin_seeds,vegetables,egg,vegetable_oil,croissant,mix_spices",4.0,5.0,002842.jpg
256,non_vegetarian,american,fried_&_grilled,unhealthy,like,cheeseburger_and_fries,"bun,beef_patty,american_cheese,lettuce,mayonnaise,potato,vegetable_oil,salt,pepper,",2.0,4.0,002856.jpg
259,vegan,indian,home,very_healthy,strongly_like,rice_with_tamarind_curry,"rice,tamarind,onion,tomato,indian_spices,garlic",5.0,5.0,002884.jpg
261,vegetarian,indian,home,very_healthy,like,chole_rice,"rice,ghee,chole,tomato,onion,spices",5.0,4.0,002898.jpg
262,non_vegetarian,morrocan,home,neutral,strongly_like,lamb_chops_with_wedges,"potato,lamb_chop,olive_oil,cumin,sea_salt,mint",3.0,5.0,002930.jpg
263,non_vegetarian,indian,home,healthy,neutral,kebab_with_mixed_rice,"mutton_kebab:
ingredients:
1_pound_(450g)_mutton,boneless_and_minced
1_medium-sized_onion,finely_chopped
2_tablespoons_ginger-garlic_paste
1_green_chili,finely_chopped_(adjust_to_your_spice_preference)
1/2_teaspoon_red_chili_powder_(adjust_to_taste)
1/2_teaspoon_turmeric_powder
1_teaspoon_garam_masala
1_teaspoon_coriander_powder
salt_to_taste
2_tablespoons_cooking_oil
wooden_skewers,soaked_in_water_for_30_minutes
rice:
ingredients:
1_cup_basmati_rice
2_cups_water
1_teaspoon_cooking_oil
salt_to_taste",4.0,3.0,002942.jpg
265,non_vegetarian,nigerian,home,healthy,strongly_like,jollof_rice,"vegetable_oil,tomatoes,red_peppers,onions,tomato_paste,curry_powder,chicken_stock,unsalted_butter,rice,chicken_legs",4.0,5.0,002954.jpg
266,vegetarian,american,restaurant,unhealthy,like,american_burger_and_fries,"bread,potato,tomato,chilli,oil",2.0,4.0,002966.jpg
267,non_vegetarian,american,mc_donald's,very_unhealthy,neutral,"mc_donalds_chicken_nuggets,milkshake_and_frise","potato’s,salt,milk,chocolate_powder,chicken,breadcrumbs,vegetable_oil",1.0,3.0,002967.jpg
268,non_vegetarian,italian,the_curve,neutral,strongly_like,chicken_lasagne_with_fries_and_coleslaw,"chicken,lasagne_sheets,cheese,milk,greens,chips,cabbage",3.0,5.0,002970.jpg
269,vegetarian,indian,home,very_healthy,strongly_like,masala_rice,"rice,warm_spices,salt,chillies",5.0,5.0,002973.jpg
270,non_vegetarian,indian,home,healthy,strongly_like,chicken_tikka_masala_and_rice,"basmati_rice,onion_shallots,ginger,garlic,chicken,yogurt,coriander,tomato_paste,curry_powder,cloves,fresh_double_cream,vegetable_oil,butter",4.0,5.0,002988.jpg
271,vegan,korean,home,healthy,like,black_curry_rice,"black_curry,rice",4.0,4.0,003029.jpg
273,vegan,indian,home,healthy,neutral,rice_with_lentils,"rice,water,lentils,kale,salt,pepper",4.0,3.0,003037.jpg
274,vegetarian,indian,home,very_healthy,strongly_like,"rice,sweet_potato_and_spinach_curry","rice,sweet_potatoes_chopped,spinach,onions,ginger_and_garlic_chopped,tomato_puree,butter,coconut_milk,salt,garam_masala,red_chilli_powder,lemon_juice",5.0,5.0,003050.jpg
275,non_vegetarian,indian,home,healthy,like,chicken_biryani,"chicken,rice,chilli_powder,turmeric_powder,ghee,meat_masala,tomato,onion,salt",4.0,4.0,003053.jpg
276,vegetarian,south_indian,home,very_healthy,strongly_like,spinach_dal_with_rice,"rice,spinach,lentils,green_chilies,curry_leaves,garlic,tomato,ghee,turmeric,cumin_seeds,salt,oil",5.0,5.0,003075.jpg
277,non_vegetarian,american,bill's,unhealthy,like,cheese_burger,"beef,buns,cheese,lettuce,french_fries,pickles",2.0,4.0,003082.jpg
278,vegetarian,indian,home,very_healthy,like,lemon_rice,"rice,lemon,onion,turmeric",5.0,4.0,003120.jpg
280,non_vegetarian,lebanese,restaurant,unhealthy,strongly_like,ribeye_steak,"ribeye_steak_with_garlic_sauce,fries,mixed_salad_and_bread",2.0,5.0,003159.jpg
282,vegetarian,chinese,restaurant,very_healthy,strongly_like,veg_rice,"green_peas,carrot,basmati_rice,vegetable_oil,chilli,salt",5.0,5.0,003170.jpg
283,non_vegetarian,american,mcdonalds,very_unhealthy,like,nuggets_and_chips,"chicken,potatoes,salt,mayonnaise,ketchup",1.0,4.0,003174.jpg
285,non_vegetarian,american,green_pepper,unhealthy,neutral,"cheese_burger,2_wings_with_fries_and_drink","regular_bun,beef,american_cheese,ketchup,chopped_tomatoes,chopped_onions,fries,chicken_wings,pepsi",2.0,3.0,003187.jpg
286,non_vegetarian,malaysian,restaurant,neutral,neutral,fried_rice,"rice,chicken,soy_sauce,spring_onion,cabbage,carrot,egg,shrimp_paste",3.0,3.0,003204.jpg
287,vegetarian,british,restaurant,healthy,dislike,chicken_with_pancakes,"pancakes,french_fries,chicken,red_cabbage",4.0,2.0,003220.jpg
288,non_vegetarian,south_asian,home,healthy,strongly_like,chicken_pieces_and_rice,"rice,onion,vegetable_oil,salt,south_asian_spices",4.0,5.0,003223.jpg
289,non_vegetarian,american,mcdonalds,unhealthy,like,chicken_burger_and_fries,"burger_buns,chicken,cheese,mayonnaise,ketchup,potatoes",2.0,4.0,003231.jpg
290,vegan,indian,home,healthy,neutral,daal_rice,"yellow_lentils,onion,ginger,garlic,cumin_seeds,musturds,green_chillies,oil",4.0,3.0,003232.jpg
291,non_vegetarian,german_turkish,gdk,unhealthy,strongly_like,german_doner_kebab,"lettuce,tomato,onion,red_cabbage,bread,yoghurt,garlic,beef,chicken,fries,cheese_sauce",2.0,5.0,003236.jpg
292,vegetarian,indian,home,healthy,strongly_like,zeera_rice,"1_cup_basmati_rice,2_cups_water,2_tablespoons_ghee,1_teaspoon_cumin_seeds_(zeera),2-3_green_cardamom_pods,2-3_cloves,1_small_cinnamon_stick,1_bay_leaf,salt_to_taste,",4.0,5.0,003246.jpg
